"Valuation Date","Last Movement Date",Organization,"Last Material Receipt Date","Org Warehouse",Locator,"Item Category","Item No","C_UOM_ID","On Hand Qty","C_Currency_ID","Moving Average Price","Price Value","C_Currency_ID_To","Current Price","Price Value","AD_Client_ID"
"31-01-2023","13-10-2022","CM_SMT","11-01-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHMTAS1011A-M",PCS,"128,550",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","02-12-2022","CM_SMT","09-09-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHMTVS1005C-M",PCS,"1,728,048",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-03-2022","CM_SMT","11-05-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","ZOBND-089002M",g,"5,000",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-07-2022","CM_SMT",,"CM01 Warehouse","PPS5001 Production process","Product (Semi-finished goods)",FLR0ED120WI300,PCS,"34,185",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-07-2022","CM_SMT",,"CM01 Warehouse","PPS5001 Production process","Product (Semi-finished goods)",FLR0ED120WI310,PCS,"4,272",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-07-2022","CM_SMT",,"CM01 Warehouse","PPS5001 Production process","Product (Semi-finished goods)",FLR0ED120WI315,PCS,"4,272",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","15-12-2022","CM_SMT",,"CM01 Warehouse","PPS5001 Production process","Product (Semi-finished goods)",FLR0ED123WI010,PCS,"4,287",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","14-12-2022","CM_SMT",,"CM01 Warehouse","PPS5001 Production process","Product (Semi-finished goods)",FLR0ED123WI020,PCS,"61.4578",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","14-12-2022","CM_SMT",,"CM01 Warehouse","PPS5001 Production process","Product (Semi-finished goods)",FLR0ED123WI035,PCS,"115.2834",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","16-01-2023","CM_SMT",,"CM01 Warehouse","PPS5001 Production process","Product (Semi-finished goods)",FLR0ED123WI100,PCS,"98,481",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
